,SalesOrderID,count
0,43688,11
1,45307,7
2,45341,9
3,46943,14
4,46994,35
5,48398,3
6,49855,46
7,50223,6
8,51123,53
9,51415,4
10,51595,3
11,53565,47
12,53634,3
13,53963,3
14,54190,4
15,55265,13
16,55283,38
17,56110,4
18,56640,3
19,56680,4
20,56741,4
21,57039,10
22,57178,9
23,58061,3
24,58835,3
25,59355,3
26,59384,6
27,59990,4
28,60769,3
29,61051,3
30,62680,4
31,63106,5
32,63155,20
33,63271,3
34,63574,4
35,63964,3
36,64519,5
37,64590,4
38,64628,4
39,65220,24
40,65241,22
41,65251,5
42,66176,3
43,67089,4
44,67294,39
45,67861,3
46,68098,4
47,68135,5
48,68610,4
49,69042,3
50,69048,3
51,69454,46
52,69478,40
53,70097,3
54,70863,3
55,71510,3
56,71995,3
57,72702,4
58,72758,4
59,72820,4
60,73048,3
61,73305,4
62,73683,3
63,74058,3
64,74166,3
65,74251,3
66,74757,4
67,74775,3
68,74820,4
69,74836,3
70,75120,3
71,43690,4
72,46938,31
73,48345,6
74,48780,29
75,49476,11
76,49869,35
77,51142,3
78,51454,4
79,51622,3
80,51927,4
81,52264,3
82,52507,3
83,53576,33
84,53620,4
85,53630,3
86,54518,4
87,55202,3
88,55966,3
89,56502,4
90,56687,4
91,57513,3
92,57771,3
93,57877,3
94,58395,4
95,58486,3
96,58572,7
97,58905,28
98,59748,3
99,60562,4
100,60596,4
101,60835,3
102,61230,31
103,61390,3
104,61867,4
105,63145,7
106,63464,3
107,63905,3
108,65300,3
109,65313,3
110,65522,3
111,65686,4
112,65771,3
113,67388,4
114,67663,3
115,68037,3
116,68485,4
117,68575,3
118,68672,4
119,69035,3
120,69279,3
121,69333,3
122,69481,5
123,69743,3
124,70456,4
125,70476,3
126,70830,4
127,71468,5
128,71984,4
129,71987,3
130,72546,4
131,72610,4
132,72996,3
133,73156,6
134,73169,4
135,74009,5
136,74452,3
137,74595,3
138,45054,8
139,46362,16
140,46608,51
141,48035,39
142,49101,36
143,49503,11
144,51243,3
145,52100,3
146,52338,3
147,52987,4
148,53056,4
149,53168,3
150,53528,8
151,54172,3
152,54212,3
153,54676,3
154,55272,3
155,55363,3
156,56840,4
157,57306,3
158,57412,3
159,59086,3
160,59680,3
161,59966,4
162,60001,3
163,60455,3
164,61202,4
165,61250,3
166,61313,3
167,61344,3
168,62372,3
169,62462,3
170,62740,3
171,63017,5
172,63111,4
173,63152,15
174,63255,3
175,63469,4
176,63854,4
177,64354,4
178,65305,3
179,66738,3
180,67068,3
181,67231,4
182,67278,43
183,68471,3
184,68678,3
185,69247,4
186,71283,4
187,71732,3
188,71821,6
189,72232,4
190,72912,4
191,72981,3
192,73436,5
193,74411,3
194,44505,8
195,44740,9
196,44776,16
197,44792,11
198,46030,3
199,46971,18
200,47013,17
201,48308,7
202,50202,3
203,50754,6
204,51629,3
205,53092,5
206,53820,4
207,54769,4
208,54984,3
209,55197,3
210,55669,4
211,56350,3
212,56490,4
213,58066,3
214,58072,3
215,59115,3
216,59229,3
217,59244,3
218,59411,3
219,59487,4
220,59832,3
221,61501,3
222,62398,4
223,62606,3
224,63197,3
225,63505,3
226,63588,3
227,65454,3
228,65879,5
229,66132,4
230,66594,3
231,66755,4
232,67857,4
233,68064,3
234,69340,4
235,69601,3
236,70322,3
237,70442,4
238,70508,3
239,70744,3
240,70881,4
241,71571,3
242,72053,3
243,73289,3
244,73341,3
245,73352,3
246,74318,3
247,45043,8
248,45783,9
249,46974,54
250,46980,37
251,47434,36
252,47457,11
253,47664,20
254,51127,32
255,51156,7
256,51350,3
257,51514,3
258,51769,33
259,52262,3
260,52471,3
261,53316,5
262,53382,3
263,53496,9
264,53546,30
265,54764,3
266,54941,4
267,55597,3
268,55607,3
269,55762,4
270,56387,3
271,56414,3
272,57566,3
273,57752,3
274,57783,4
275,58944,46
276,59096,3
277,59157,3
278,59547,3
279,60243,3
280,60773,3
281,61715,4
282,62150,5
283,62436,5
284,62620,3
285,62935,4
286,63146,6
287,63191,6
288,64021,4
289,64045,3
290,64127,3
291,64645,4
292,65037,3
293,65174,48
294,65243,16
295,65321,3
296,66978,3
297,67135,4
298,67419,3
299,67549,4
300,67594,3
301,68109,5
302,68445,4
303,70892,3
304,71115,5
305,71198,3
306,71787,27
307,71808,36
